archivo_actual,nuevo_archivo,curso,etiqueta,tipo
assets/certificados/normas/MRE-2.jpg,assets/certificados/originales/gestion/introduccion-a-los-sistemas-de-gestion-integral-dc3.jpg,Introducción a los sistemas de gestión integral,gestion,dc3
assets/certificados/seguridad/ACR/26 - ANÁLISIS CAUSA RAÍZ_page-0001.jpg,assets/certificados/originales/gestion/analisis-de-causa-raiz-pagina-1.jpg,Análisis de causa raíz,gestion,pagina-1
assets/certificados/seguridad/ACR/26 - ANÁLISIS CAUSA RAÍZ_page-0002.jpg,assets/certificados/originales/gestion/analisis-de-causa-raiz-pagina-2.jpg,Análisis de causa raíz,gestion,pagina-2
assets/certificados/seguridad/ACR/26 - ANÁLISIS CAUSA RAÍZ_page-0003.jpg,assets/certificados/originales/gestion/analisis-de-causa-raiz-pagina-3.jpg,Análisis de causa raíz,gestion,pagina-3
assets/certificados/seguridad/AE/25 - AUDITORÍAS EFECTIVAS_page-0001.jpg,assets/certificados/originales/gestion/auditorias-efectivas-pagina-1.jpg,Auditorías efectivas,gestion,pagina-1
assets/certificados/seguridad/AE/25 - AUDITORÍAS EFECTIVAS_page-0002.jpg,assets/certificados/originales/gestion/auditorias-efectivas-pagina-2.jpg,Auditorías efectivas,gestion,pagina-2
assets/certificados/seguridad/AE/25 - AUDITORÍAS EFECTIVAS_page-0003.jpg,assets/certificados/originales/gestion/auditorias-efectivas-pagina-3.jpg,Auditorías efectivas,gestion,pagina-3
assets/certificados/seguridad/AR/16 - LEY GENERAL DEL EQUILIBRIO ECOLÓGICO Y LA PROTECCIÓN AL AMBIENTE Y SUS REGLAMENTOS_page-0001.jpg,assets/certificados/originales/ambiente/ley-general-del-equilibrio-ecologico-y-proteccion-al-ambiente-pagina-1.jpg,Ley general del equilibrio ecológico y protección al ambiente,ambiente,pagina-1
assets/certificados/seguridad/AR/16 - LEY GENERAL DEL EQUILIBRIO ECOLÓGICO Y LA PROTECCIÓN AL AMBIENTE Y SUS REGLAMENTOS_page-0002.jpg,assets/certificados/originales/ambiente/ley-general-del-equilibrio-ecologico-y-proteccion-al-ambiente-pagina-2.jpg,Ley general del equilibrio ecológico y protección al ambiente,ambiente,pagina-2
assets/certificados/seguridad/AR/16 - LEY GENERAL DEL EQUILIBRIO ECOLÓGICO Y LA PROTECCIÓN AL AMBIENTE Y SUS REGLAMENTOS_page-0003.jpg,assets/certificados/originales/ambiente/ley-general-del-equilibrio-ecologico-y-proteccion-al-ambiente-pagina-3.jpg,Ley general del equilibrio ecológico y protección al ambiente,ambiente,pagina-3
assets/certificados/seguridad/ART/22 - IDENTIFICACIÓN DE ÁREAS DE RIESGO EN EL TRABAJO_page-0001.jpg,assets/certificados/originales/seguridad/identificacion-de-areas-de-riesgo-en-el-trabajo-pagina-1.jpg,Identificación de áreas de riesgo en el trabajo,seguridad,pagina-1
assets/certificados/seguridad/ART/22 - IDENTIFICACIÓN DE ÁREAS DE RIESGO EN EL TRABAJO_page-0002.jpg,assets/certificados/originales/seguridad/identificacion-de-areas-de-riesgo-en-el-trabajo-pagina-2.jpg,Identificación de áreas de riesgo en el trabajo,seguridad,pagina-2
assets/certificados/seguridad/ART/22 - IDENTIFICACIÓN DE ÁREAS DE RIESGO EN EL TRABAJO_page-0003.jpg,assets/certificados/originales/seguridad/identificacion-de-areas-de-riesgo-en-el-trabajo-pagina-3.jpg,Identificación de áreas de riesgo en el trabajo,seguridad,pagina-3
assets/certificados/seguridad/AST/24 - ANÁLISIS DE SEGURIDAD EN EL TRABAJO (AST)_page-0001.jpg,assets/certificados/originales/seguridad/analisis-de-seguridad-en-el-trabajo-pagina-1.jpg,Análisis de seguridad en el trabajo,seguridad,pagina-1
assets/certificados/seguridad/AST/24 - ANÁLISIS DE SEGURIDAD EN EL TRABAJO (AST)_page-0002.jpg,assets/certificados/originales/seguridad/analisis-de-seguridad-en-el-trabajo-pagina-2.jpg,Análisis de seguridad en el trabajo,seguridad,pagina-2
assets/certificados/seguridad/AST/24 - ANÁLISIS DE SEGURIDAD EN EL TRABAJO (AST)_page-0003.jpg,assets/certificados/originales/seguridad/analisis-de-seguridad-en-el-trabajo-pagina-3.jpg,Análisis de seguridad en el trabajo,seguridad,pagina-3
assets/certificados/seguridad/BS/BS-1.jpg,assets/certificados/originales/seguridad/basico-de-seguridad-pagina-1.jpg,Básico de seguridad,seguridad,pagina-1
assets/certificados/seguridad/BS/BS-2.jpg,assets/certificados/originales/seguridad/basico-de-seguridad-pagina-2.jpg,Básico de seguridad,seguridad,pagina-2
assets/certificados/seguridad/BS/BS-3.jpg,assets/certificados/originales/seguridad/basico-de-seguridad-pagina-3.jpg,Básico de seguridad,seguridad,pagina-3
assets/certificados/seguridad/CBDSPRE/CBDSPRE-1.jpg,assets/certificados/originales/seguridad/planes-de-respuesta-a-emergencias-pagina-1.jpg,Planes de respuesta a emergencias,seguridad,pagina-1
assets/certificados/seguridad/CBDSPRE/CBDSPRE-2.jpg,assets/certificados/originales/seguridad/planes-de-respuesta-a-emergencias-pagina-2.jpg,Planes de respuesta a emergencias,seguridad,pagina-2
assets/certificados/seguridad/CBDSPRE/CBDSPRE-3.jpg,assets/certificados/originales/seguridad/planes-de-respuesta-a-emergencias-pagina-3.jpg,Planes de respuesta a emergencias,seguridad,pagina-3
assets/certificados/seguridad/CBSPA/CBSPA-1.jpg,assets/certificados/originales/ambiente/conceptos-basicos-sobre-proteccion-ambiental-pagina-1.jpg,Conceptos básicos sobre protección ambiental,ambiente,pagina-1
assets/certificados/seguridad/CBSPA/CBSPA-2.jpg,assets/certificados/originales/ambiente/conceptos-basicos-sobre-proteccion-ambiental-pagina-2.jpg,Conceptos básicos sobre protección ambiental,ambiente,pagina-2
assets/certificados/seguridad/CBSPA/CBSPA-3.jpg,assets/certificados/originales/ambiente/conceptos-basicos-sobre-proteccion-ambiental-pagina-3.jpg,Conceptos básicos sobre protección ambiental,ambiente,pagina-3
assets/certificados/seguridad/CRP/14 - CLASIFICACIÓN Y MANEJO DE RESIDUOS PELIGROSOS_page-0001.jpg,assets/certificados/originales/ambiente/clasificacion-y-manejo-de-residuos-peligrosos-pagina-1.jpg,Clasificación y manejo de residuos peligrosos,ambiente,pagina-1
assets/certificados/seguridad/CRP/14 - CLASIFICACIÓN Y MANEJO DE RESIDUOS PELIGROSOS_page-0002.jpg,assets/certificados/originales/ambiente/clasificacion-y-manejo-de-residuos-peligrosos-pagina-2.jpg,Clasificación y manejo de residuos peligrosos,ambiente,pagina-2
assets/certificados/seguridad/CRP/14 - CLASIFICACIÓN Y MANEJO DE RESIDUOS PELIGROSOS_page-0003.jpg,assets/certificados/originales/ambiente/clasificacion-y-manejo-de-residuos-peligrosos-pagina-3.jpg,Clasificación y manejo de residuos peligrosos,ambiente,pagina-3
assets/certificados/seguridad/CSPT/27. CREDENCIAL SISTEMA DE PERMISOS PARA TRABAJOS CON RIESGO_page-0001.jpg,assets/certificados/originales/seguridad/credencial-del-sistema-de-permisos-para-trabajos-con-riesgo-pagina-1.jpg,Credencial del sistema de permisos para trabajos con riesgo,seguridad,pagina-1
assets/certificados/seguridad/CSPT/27. CREDENCIAL SISTEMA DE PERMISOS PARA TRABAJOS CON RIESGO_page-0002.jpg,assets/certificados/originales/seguridad/credencial-del-sistema-de-permisos-para-trabajos-con-riesgo-pagina-2.jpg,Credencial del sistema de permisos para trabajos con riesgo,seguridad,pagina-2
assets/certificados/seguridad/EPR/19 - CLASIFICACIÓN Y USO DE EQUIPOS DE PROTECCIÓN RESPIRATORIA_page-0001.jpg,assets/certificados/originales/seguridad/equipos-de-proteccion-respiratoria-pagina-1.jpg,Equipos de protección respiratoria,seguridad,pagina-1
assets/certificados/seguridad/EPR/19 - CLASIFICACIÓN Y USO DE EQUIPOS DE PROTECCIÓN RESPIRATORIA_page-0002.jpg,assets/certificados/originales/seguridad/equipos-de-proteccion-respiratoria-pagina-2.jpg,Equipos de protección respiratoria,seguridad,pagina-2
assets/certificados/seguridad/EPR/19 - CLASIFICACIÓN Y USO DE EQUIPOS DE PROTECCIÓN RESPIRATORIA_page-0003.jpg,assets/certificados/originales/seguridad/equipos-de-proteccion-respiratoria-pagina-3.jpg,Equipos de protección respiratoria,seguridad,pagina-3
assets/certificados/seguridad/ERA/10 - EQUIPO DE RESPIRACIÓN AUTÓNOMO_page-0001.jpg,assets/certificados/originales/seguridad/equipo-de-respiracion-autonomo-pagina-1.jpg,Equipo de respiración autónomo,seguridad,pagina-1
assets/certificados/seguridad/ERA/10 - EQUIPO DE RESPIRACIÓN AUTÓNOMO_page-0002.jpg,assets/certificados/originales/seguridad/equipo-de-respiracion-autonomo-pagina-2.jpg,Equipo de respiración autónomo,seguridad,pagina-2
assets/certificados/seguridad/ERA/10 - EQUIPO DE RESPIRACIÓN AUTÓNOMO_page-0003.jpg,assets/certificados/originales/seguridad/equipo-de-respiracion-autonomo-pagina-3.jpg,Equipo de respiración autónomo,seguridad,pagina-3
"assets/certificados/seguridad/GEOT/11 - USO DE EQUIPOS DE DETECCIÓN DE GASES EXPLOSÍMETRO, OXÍGENO, TOXICIDAD_page-0001.jpg",assets/certificados/originales/seguridad/deteccion-de-gases-pagina-1.jpg,Detección de gases,seguridad,pagina-1
"assets/certificados/seguridad/GEOT/11 - USO DE EQUIPOS DE DETECCIÓN DE GASES EXPLOSÍMETRO, OXÍGENO, TOXICIDAD_page-0002.jpg",assets/certificados/originales/seguridad/deteccion-de-gases-pagina-2.jpg,Detección de gases,seguridad,pagina-2
"assets/certificados/seguridad/GEOT/11 - USO DE EQUIPOS DE DETECCIÓN DE GASES EXPLOSÍMETRO, OXÍGENO, TOXICIDAD_page-0003.jpg",assets/certificados/originales/seguridad/deteccion-de-gases-pagina-3.jpg,Detección de gases,seguridad,pagina-3
assets/certificados/seguridad/HDS/13 - HOJAS DE DATOS DE SEGURIDAD DE LAS SUSTANCIAS INVOLUCRADAS EN LOS TRABAJOS DEL CONTRATO_page-0001.jpg,assets/certificados/originales/seguridad/hojas-de-datos-de-seguridad-pagina-1.jpg,Hojas de datos de seguridad,seguridad,pagina-1
assets/certificados/seguridad/HDS/13 - HOJAS DE DATOS DE SEGURIDAD DE LAS SUSTANCIAS INVOLUCRADAS EN LOS TRABAJOS DEL CONTRATO_page-0002.jpg,assets/certificados/originales/seguridad/hojas-de-datos-de-seguridad-pagina-2.jpg,Hojas de datos de seguridad,seguridad,pagina-2
assets/certificados/seguridad/HDS/13 - HOJAS DE DATOS DE SEGURIDAD DE LAS SUSTANCIAS INVOLUCRADAS EN LOS TRABAJOS DEL CONTRATO_page-0003.jpg,assets/certificados/originales/seguridad/hojas-de-datos-de-seguridad-pagina-3.jpg,Hojas de datos de seguridad,seguridad,pagina-3
assets/certificados/seguridad/LPG/17 - LEY GENERAL PARA LA PREVENCIÓN Y GESTIÓN INTEGRAL DE LOS RESIDUOS Y SU REGLAMENTO_page-0001.jpg,assets/certificados/originales/ambiente/ley-general-para-la-prevencion-y-gestion-integral-de-residuos-pagina-1.jpg,Ley general para la prevención y gestión integral de residuos,ambiente,pagina-1
assets/certificados/seguridad/LPG/17 - LEY GENERAL PARA LA PREVENCIÓN Y GESTIÓN INTEGRAL DE LOS RESIDUOS Y SU REGLAMENTO_page-0002.jpg,assets/certificados/originales/ambiente/ley-general-para-la-prevencion-y-gestion-integral-de-residuos-pagina-2.jpg,Ley general para la prevención y gestión integral de residuos,ambiente,pagina-2
assets/certificados/seguridad/LPG/17 - LEY GENERAL PARA LA PREVENCIÓN Y GESTIÓN INTEGRAL DE LOS RESIDUOS Y SU REGLAMENTO_page-0003.jpg,assets/certificados/originales/ambiente/ley-general-para-la-prevencion-y-gestion-integral-de-residuos-pagina-3.jpg,Ley general para la prevención y gestión integral de residuos,ambiente,pagina-3
assets/certificados/seguridad/MD/09 - MANEJO A LA DEFENSIVA_page-0001.jpg,assets/certificados/originales/seguridad/manejo-a-la-defensiva-pagina-1.jpg,Manejo a la defensiva,seguridad,pagina-1
assets/certificados/seguridad/MD/09 - MANEJO A LA DEFENSIVA_page-0002.jpg,assets/certificados/originales/seguridad/manejo-a-la-defensiva-pagina-2.jpg,Manejo a la defensiva,seguridad,pagina-2
assets/certificados/seguridad/MD/09 - MANEJO A LA DEFENSIVA_page-0003.jpg,assets/certificados/originales/seguridad/manejo-a-la-defensiva-pagina-3.jpg,Manejo a la defensiva,seguridad,pagina-3
assets/certificados/seguridad/ME/08 - MANEJO DE EXTINTORES_page-0001.jpg,assets/certificados/originales/seguridad/manejo-de-extintores-pagina-1.jpg,Manejo de extintores,seguridad,pagina-1
assets/certificados/seguridad/ME/08 - MANEJO DE EXTINTORES_page-0002.jpg,assets/certificados/originales/seguridad/manejo-de-extintores-pagina-2.jpg,Manejo de extintores,seguridad,pagina-2
assets/certificados/seguridad/ME/08 - MANEJO DE EXTINTORES_page-0003.jpg,assets/certificados/originales/seguridad/manejo-de-extintores-pagina-3.jpg,Manejo de extintores,seguridad,pagina-3
assets/certificados/seguridad/PA/15 - DISPOSITIVOS DE DETECCIÓN Y PRIMEROS AUXILIOS_page-0001.jpg,assets/certificados/originales/seguridad/dispositivos-de-deteccion-y-primeros-auxilios-pagina-1.jpg,Dispositivos de detección y primeros auxilios,seguridad,pagina-1
assets/certificados/seguridad/PA/15 - DISPOSITIVOS DE DETECCIÓN Y PRIMEROS AUXILIOS_page-0002.jpg,assets/certificados/originales/seguridad/dispositivos-de-deteccion-y-primeros-auxilios-pagina-2.jpg,Dispositivos de detección y primeros auxilios,seguridad,pagina-2
assets/certificados/seguridad/PA/15 - DISPOSITIVOS DE DETECCIÓN Y PRIMEROS AUXILIOS_page-0003.jpg,assets/certificados/originales/seguridad/dispositivos-de-deteccion-y-primeros-auxilios-pagina-3.jpg,Dispositivos de detección y primeros auxilios,seguridad,pagina-3
assets/certificados/seguridad/PC/23 - PROCEDIMIENTOS CRÍTICOS_page-0001.jpg,assets/certificados/originales/seguridad/procedimientos-criticos-pagina-1.jpg,Procedimientos críticos,seguridad,pagina-1
assets/certificados/seguridad/PC/23 - PROCEDIMIENTOS CRÍTICOS_page-0002.jpg,assets/certificados/originales/seguridad/procedimientos-criticos-pagina-2.jpg,Procedimientos críticos,seguridad,pagina-2
assets/certificados/seguridad/PC/23 - PROCEDIMIENTOS CRÍTICOS_page-0003.jpg,assets/certificados/originales/seguridad/procedimientos-criticos-pagina-3.jpg,Procedimientos críticos,seguridad,pagina-3
assets/certificados/seguridad/RA/20 - RIESGOS ATMOSFÉRICOS_page-0001.jpg,assets/certificados/originales/seguridad/riesgos-atmosfericos-pagina-1.jpg,Riesgos atmosféricos,seguridad,pagina-1
assets/certificados/seguridad/RA/20 - RIESGOS ATMOSFÉRICOS_page-0002.jpg,assets/certificados/originales/seguridad/riesgos-atmosfericos-pagina-2.jpg,Riesgos atmosféricos,seguridad,pagina-2
assets/certificados/seguridad/RA/20 - RIESGOS ATMOSFÉRICOS_page-0003.jpg,assets/certificados/originales/seguridad/riesgos-atmosfericos-pagina-3.jpg,Riesgos atmosféricos,seguridad,pagina-3
"assets/certificados/seguridad/RCP/07 - GENERALIDADES DE PRIMEROS AUXILIOS, HEMORRAGIAS, REANIMACIÓN CARDIOPULMONAR (RCP)_page-0001.jpg",assets/certificados/originales/seguridad/primeros-auxilios-hemorragias-y-rcp-pagina-1.jpg,"Primeros auxilios, hemorragias y RCP",seguridad,pagina-1
"assets/certificados/seguridad/RCP/07 - GENERALIDADES DE PRIMEROS AUXILIOS, HEMORRAGIAS, REANIMACIÓN CARDIOPULMONAR (RCP)_page-0002.jpg",assets/certificados/originales/seguridad/primeros-auxilios-hemorragias-y-rcp-pagina-2.jpg,"Primeros auxilios, hemorragias y RCP",seguridad,pagina-2
"assets/certificados/seguridad/RCP/07 - GENERALIDADES DE PRIMEROS AUXILIOS, HEMORRAGIAS, REANIMACIÓN CARDIOPULMONAR (RCP)_page-0003.jpg",assets/certificados/originales/seguridad/primeros-auxilios-hemorragias-y-rcp-pagina-3.jpg,"Primeros auxilios, hemorragias y RCP",seguridad,pagina-3
assets/certificados/seguridad/REC/21 - RIESGOS EN ESPACIOS CONFINADOS_page-0001.jpg,assets/certificados/originales/seguridad/riesgos-en-espacios-confinados-pagina-1.jpg,Riesgos en espacios confinados,seguridad,pagina-1
assets/certificados/seguridad/REC/21 - RIESGOS EN ESPACIOS CONFINADOS_page-0002.jpg,assets/certificados/originales/seguridad/riesgos-en-espacios-confinados-pagina-2.jpg,Riesgos en espacios confinados,seguridad,pagina-2
assets/certificados/seguridad/REC/21 - RIESGOS EN ESPACIOS CONFINADOS_page-0003.jpg,assets/certificados/originales/seguridad/riesgos-en-espacios-confinados-pagina-3.jpg,Riesgos en espacios confinados,seguridad,pagina-3
assets/certificados/seguridad/RFSHMA/RFSHMA-1.jpg,assets/certificados/originales/seguridad/reglamento-federal-de-seguridad-e-higiene-pagina-1.jpg,Reglamento federal de seguridad e higiene,seguridad,pagina-1
assets/certificados/seguridad/RFSHMA/RFSHMA-2.jpg,assets/certificados/originales/seguridad/reglamento-federal-de-seguridad-e-higiene-pagina-2.jpg,Reglamento federal de seguridad e higiene,seguridad,pagina-2
assets/certificados/seguridad/RFSHMA/RFSHMA-3.jpg,assets/certificados/originales/seguridad/reglamento-federal-de-seguridad-e-higiene-pagina-3.jpg,Reglamento federal de seguridad e higiene,seguridad,pagina-3
assets/certificados/seguridad/RSPM/RSPM-1.jpg,assets/certificados/originales/seguridad/reglamento-de-seguridad-e-higiene-de-pemex-pagina-1.jpg,Reglamento de seguridad e higiene de PEMEX,seguridad,pagina-1
assets/certificados/seguridad/RSPM/RSPM-2.jpg,assets/certificados/originales/seguridad/reglamento-de-seguridad-e-higiene-de-pemex-pagina-2.jpg,Reglamento de seguridad e higiene de PEMEX,seguridad,pagina-2
assets/certificados/seguridad/RSPM/RSPM-3.jpg,assets/certificados/originales/seguridad/reglamento-de-seguridad-e-higiene-de-pemex-pagina-3.jpg,Reglamento de seguridad e higiene de PEMEX,seguridad,pagina-3
assets/certificados/seguridad/SM/12 - SOBREVIVENCIA EN EL MAR_page-0001.jpg,assets/certificados/originales/seguridad/sobrevivencia-en-el-mar-pagina-1.jpg,Sobrevivencia en el mar,seguridad,pagina-1
assets/certificados/seguridad/SM/12 - SOBREVIVENCIA EN EL MAR_page-0002.jpg,assets/certificados/originales/seguridad/sobrevivencia-en-el-mar-pagina-2.jpg,Sobrevivencia en el mar,seguridad,pagina-2
assets/certificados/seguridad/SM/12 - SOBREVIVENCIA EN EL MAR_page-0003.jpg,assets/certificados/originales/seguridad/sobrevivencia-en-el-mar-pagina-3.jpg,Sobrevivencia en el mar,seguridad,pagina-3
assets/certificados/seguridad/SPTR/27. SISTEMA DE PERMISOS PARA TRABAJOS CON RIESGO_page-0001.jpg,assets/certificados/originales/seguridad/sistema-de-permisos-para-trabajos-con-riesgo-pagina-1.jpg,Sistema de permisos para trabajos con riesgo,seguridad,pagina-1
assets/certificados/seguridad/SPTR/27. SISTEMA DE PERMISOS PARA TRABAJOS CON RIESGO_page-0002.jpg,assets/certificados/originales/seguridad/sistema-de-permisos-para-trabajos-con-riesgo-pagina-2.jpg,Sistema de permisos para trabajos con riesgo,seguridad,pagina-2
assets/certificados/seguridad/SSTPA/SSTPA-1.jpg,assets/certificados/originales/seguridad/seguridad-salud-en-el-trabajo-y-proteccion-ambiental-pagina-1.jpg,"Seguridad, salud en el trabajo y protección ambiental",seguridad,pagina-1
assets/certificados/seguridad/SSTPA/SSTPA-2.jpg,assets/certificados/originales/seguridad/seguridad-salud-en-el-trabajo-y-proteccion-ambiental-pagina-2.jpg,"Seguridad, salud en el trabajo y protección ambiental",seguridad,pagina-2
assets/certificados/seguridad/SSTPA/SSTPA-3.jpg,assets/certificados/originales/seguridad/seguridad-salud-en-el-trabajo-y-proteccion-ambiental-pagina-3.jpg,"Seguridad, salud en el trabajo y protección ambiental",seguridad,pagina-3
assets/certificados/seguridad/TC/18 - TEORÍA DE LA COMBUSTIÓN_page-0001.jpg,assets/certificados/originales/seguridad/teoria-de-la-combustion-pagina-1.jpg,Teoría de la combustión,seguridad,pagina-1
assets/certificados/seguridad/TC/18 - TEORÍA DE LA COMBUSTIÓN_page-0002.jpg,assets/certificados/originales/seguridad/teoria-de-la-combustion-pagina-2.jpg,Teoría de la combustión,seguridad,pagina-2
assets/certificados/seguridad/TC/18 - TEORÍA DE LA COMBUSTIÓN_page-0003.jpg,assets/certificados/originales/seguridad/teoria-de-la-combustion-pagina-3.jpg,Teoría de la combustión,seguridad,pagina-3
assets/certificados/tecnologia/CC-1.jpg,assets/certificados/originales/electricidad/fundamentos-de-metrologia-dc-3-reverso-original.jpg,"Fundamentos de metrología, DC-3 reverso",electricidad,original
assets/certificados/tecnologia/PZ-1.jpg,assets/certificados/originales/tecnologia/introduccion-a-cisco-packet-tracer-original.jpg,Introducción a Cisco Packet Tracer,tecnologia,original
assets/certificados/tecnologia/PZ-10.jpg,assets/certificados/originales/gestion/introduccion-a-los-sistemas-de-gestion-integral-original.jpg,Introducción a los sistemas de gestión integral,gestion,original
assets/certificados/tecnologia/PZ-11.jpg,assets/certificados/originales/gestion/introduccion-a-los-sistemas-de-gestion-integral-dc-3-original.jpg,"Introducción a los sistemas de gestión integral, DC-3",gestion,original
assets/certificados/tecnologia/PZ-12.jpg,assets/certificados/originales/tecnologia/estrategias-para-aprender-en-linea-original.jpg,Estrategias para aprender en línea,tecnologia,original
assets/certificados/tecnologia/PZ-13.jpg,assets/certificados/originales/tecnologia/maquetacion-en-css-original.jpg,Maquetación en CSS,tecnologia,original
assets/certificados/tecnologia/PZ-2.jpg,assets/certificados/originales/tecnologia/pensamiento-logico-algoritmos-y-diagramas-de-flujo-original.jpg,Pensamiento lógico: algoritmos y diagramas de flujo,tecnologia,original
assets/certificados/tecnologia/PZ-3.jpg,assets/certificados/originales/tecnologia/pensamiento-logico-datos-estructuras-y-funciones-original.jpg,"Pensamiento lógico: datos, estructuras y funciones",tecnologia,original
assets/certificados/tecnologia/PZ-4.jpg,assets/certificados/originales/tecnologia/introduccion-a-la-terminal-y-linea-de-comandos-original.jpg,Introducción a la terminal y línea de comandos,tecnologia,original
assets/certificados/tecnologia/PZ-5.jpg,assets/certificados/originales/tecnologia/diseno-para-programadores-original.jpg,Diseño para programadores,tecnologia,original
assets/certificados/tecnologia/PZ-6.jpg,assets/certificados/originales/tecnologia/computacion-basica-original.jpg,Computación básica,tecnologia,original
assets/certificados/tecnologia/PZ-7.jpg,assets/certificados/originales/tecnologia/tecnicas-efectivas-de-estudio-original.jpg,Técnicas efectivas de estudio,tecnologia,original
assets/certificados/tecnologia/PZ-8.jpg,assets/certificados/originales/tecnologia/curso-definitivo-de-html-y-css-original.jpg,Curso definitivo de HTML y CSS,tecnologia,original
assets/certificados/tecnologia/PZ-9.jpg,assets/certificados/originales/tecnologia/curso-practico-de-html-y-css-original.jpg,Curso práctico de HTML y CSS,tecnologia,original
